AttackIndex,AttackID,Subband,Block,Alfa,AlfaSS,BestBER
1,2,2,8,0.5,20,0.099609375
2,2,1,8,0.5,10,0.099609375
3,2,1,8,0.5,30,0.099609375
4,2,1,8,0.5,10,0.099609375
5,2,2,8,0.5,30,0.099609375
6,2,1,8,0.5,10,0.099609375
7,2,2,8,1,30,0.0712890625
8,2,2,8,1,20,0.0537109375
9,3,1,8,0.5,20,0.11328125
10,3,2,8,0.5,10,0.099609375
11,3,1,8,0.5,30,0.10546875
12,3,1,8,1,10,0.1064453125
13,3,2,8,0.5,10,0.099609375
14,3,2,8,1,30,0.1181640625
15,5,2,8,0.5,10,0.099609375
16,5,2,8,0.5,30,0.1005859375
17,5,2,8,0.5,10,0.099609375
18,6,2,8,1,10,0.0751953125
19,6,2,8,1,10,0.0068359375
20,6,2,8,1,20,0.017578125
21,6,2,8,1,10,0
22,6,2,8,1,10,0.001953125
23,6,2,8,1,10,0
24,7,2,8,1,10,0.005859375
25,7,2,8,1,10,0
26,12,2,8,1,10,0.0458984375
27,12,2,8,1,10,0.0439453125
28,12,2,8,1,10,0.0439453125
29,12,2,8,1,10,0.04296875
30,14,2,8,1,30,0
31,15,2,8,0.5,20,0
32,15,2,8,0.5,30,0
33,15,2,8,1,10,0
34,15,2,8,1,20,0
35,16,2,8,1,30,0.09765625
36,16,2,8,1,10,0.099609375
37,16,1,8,0.5,20,0.099609375
38,17,2,8,1,10,0
39,17,2,8,0.5,30,0
40,17,2,8,0.5,30,0
41,17,2,8,1,10,0
