AttackIndex,AttackID,Subband,Block,Alfa,AlfaSS,BestBER
1,2,2,8,0.5,30,0.099609375
2,2,1,8,0.5,10,0.099609375
3,2,1,8,0.5,30,0.099609375
4,2,1,8,0.5,10,0.099609375
5,2,1,8,0.5,10,0.099609375
6,2,1,8,0.5,10,0.099609375
7,2,2,8,1,30,0.0966796875
8,2,2,8,1,20,0.0712890625
9,3,1,8,0.5,20,0.1142578125
10,3,1,8,0.5,20,0.109375
11,3,1,8,0.5,30,0.10546875
12,3,1,8,1,10,0.10546875
13,3,1,8,1,10,0.1123046875
14,3,2,8,1,30,0.1171875
15,5,2,8,0.5,10,0.1904296875
16,5,2,8,0.5,30,0.201171875
17,5,1,8,1,30,0.1748046875
18,6,2,8,1,10,0.0810546875
19,6,2,8,1,30,0.052734375
20,6,2,8,1,20,0.0361328125
21,6,2,8,0.5,20,0.0556640625
22,6,2,8,1,20,0.0234375
23,6,2,8,0.5,20,0.041015625
24,7,2,8,1,30,0.0517578125
25,7,2,8,1,20,0.0439453125
26,12,2,8,1,30,0.06640625
27,12,2,8,1,10,0.0537109375
28,12,2,8,1,20,0.0517578125
29,12,2,8,1,20,0.056640625
30,14,2,8,0.5,10,0.0126953125
31,15,2,8,1,30,0.0087890625
32,15,2,8,0.5,30,0.0205078125
33,15,2,8,1,10,0.00390625
34,15,2,8,1,20,0.0048828125
35,16,2,8,1,30,0.0849609375
36,16,2,8,1,10,0.099609375
37,16,1,8,0.5,20,0.099609375
38,17,2,8,1,20,0.0185546875
39,17,2,8,1,10,0.0087890625
40,17,2,8,1,10,0.0078125
41,17,2,8,0.5,30,0.021484375
